plot,trmt,fescue_biomass_g_m2,oth_grasses_g_m2,forbs_g_m2,shrubs_g_m2,tot_ag_plant_g_m2
1,Gh,160.18348253076564,9.194333865459615,0,0,169.37781639622526
2,Ex,150.49608988219128,13.074140683411805,0.3111928385232485,0,163.88142340412634
3,Gh,193.26691858467882,7.557540364136036,2.6027037403762607,0,203.4271626891911
4,Ex,138.21811788954676,9.012467920868108,0,0,147.23058581041485
5,Gh,140.0751712570978,6.163234788934467,3.5585103158405236,0,149.7969163618728
6,Ex,107.93541738234285,4.7689292137329,0.25461232242811244,0,112.95895891850385
7,Ex,162.73768868591753,11.679835108210236,0.5981368844342959,0,175.01566067856206
8,Gh,114.25626932325662,4.02125810819003,0.6830076585770001,0.24248792612201184,119.20302301614566
9,Gh,115.868814031968,8.60832137733142,0,0,124.47713540929942
10,Ex,124.09723765837494,5.597429627983107,0.42031240527815383,0,130.1149796916362
11,Gh,126.65548527896215,11.659627781033402,0.6102612807403964,0,138.92537434073597
12,Ex,94.95423040394446,8.64873603168509,0,0,103.60296643562955
