plot,trmt,location,depth_cm,root_g_m2
1,Gh,B,10,830.6488809933982
1,Gh,B,20,NA
1,Gh,P,10,365.71790996979803
1,Gh,P,20,NA
2,Ex,B,10,579.2375531416008
2,Ex,B,20,205.38556152715992
2,Ex,P,10,362.4339639642012
2,Ex,P,20,NA
3,Gh,B,10,456.9105644329986
3,Gh,B,20,140.19923331600083
3,Gh,P,10,518.8950452887011
3,Gh,P,20,177.20677868679985
4,Ex,B,10,443.20640514039917
4,Ex,B,20,94.11031418355898
4,Ex,P,10,445.73251745240003
4,Ex,P,20,187.50068635820054
5,Gh,B,10,409.92487542980047
5,Gh,B,20,185.4355895431402
5,Gh,P,10,576.4272531944995
5,Gh,P,20,74.29927837670073
6,Ex,B,10,179.7644674026995
6,Ex,B,20,191.637195269101
6,Ex,P,10,361.3603662315992
6,Ex,P,20,139.31509400680065
7,Ex,B,10,582.7741103783992
7,Ex,B,20,161.89222279529852
7,Ex,P,10,500.4544254111015
7,Ex,P,20,89.89802190330028
8,Gh,B,10,289.36616533960097
8,Gh,B,20,79.47780861629988
8,Gh,P,10,232.56021472349985
8,Gh,P,20,139.22036479509975
9,Gh,B,10,318.9848321977993
9,Gh,B,20,278.91437564869955
9,Gh,P,10,553.4396311553014
9,Gh,P,20,41.83873516750009
10,Ex,B,10,446.17458710700123
10,Ex,B,20,206.92017475670127
10,Ex,P,10,259.9053805009012
10,Ex,P,20,175.50165287620158
11,Gh,B,10,476.93000450559913
11,Gh,B,20,173.73337425779897
11,Gh,P,10,93.49773194789861
11,Gh,P,20,94.77657630584956
12,Ex,B,10,451.44784655829903
12,Ex,B,20,120.5587100901995
12,Ex,P,10,211.372447706601
12,Ex,P,20,194.73168285130052
