plot,trmt,date,number
1,Gh,2014-09-13,1
1,Gh,2014-09-19,0
1,Gh,2014-09-26,2
1,Gh,2014-10-03,0
1,Gh,2014-10-10,0
1,Gh,2014-10-16,0
1,Gh,2014-10-21,1
2,Ex,2014-09-13,0
2,Ex,2014-09-19,1
2,Ex,2014-09-26,1
2,Ex,2014-10-03,0
2,Ex,2014-10-10,0
2,Ex,2014-10-16,0
2,Ex,2014-10-21,1
3,Gh,2014-09-13,0
3,Gh,2014-09-19,0
3,Gh,2014-09-26,1
3,Gh,2014-10-03,0
3,Gh,2014-10-10,0
3,Gh,2014-10-16,0
3,Gh,2014-10-21,1
4,Ex,2014-09-13,0
4,Ex,2014-09-19,0
4,Ex,2014-09-26,0
4,Ex,2014-10-03,1
4,Ex,2014-10-10,0
4,Ex,2014-10-16,1
4,Ex,2014-10-21,0
5,Gh,2014-09-13,0
5,Gh,2014-09-19,1
5,Gh,2014-09-26,1
5,Gh,2014-10-03,1
5,Gh,2014-10-10,0
5,Gh,2014-10-16,0
5,Gh,2014-10-21,0
6,Ex,2014-09-13,0
6,Ex,2014-09-19,0
6,Ex,2014-09-26,0
6,Ex,2014-10-03,0
6,Ex,2014-10-10,0
6,Ex,2014-10-16,0
6,Ex,2014-10-21,0
7,Ex,2014-09-13,0
7,Ex,2014-09-19,1
7,Ex,2014-09-26,0
7,Ex,2014-10-03,0
7,Ex,2014-10-10,0
7,Ex,2014-10-16,0
7,Ex,2014-10-21,0
8,Gh,2014-09-13,0
8,Gh,2014-09-19,0
8,Gh,2014-09-26,0
8,Gh,2014-10-03,2
8,Gh,2014-10-10,0
8,Gh,2014-10-16,0
8,Gh,2014-10-21,0
9,Gh,2014-09-13,0
9,Gh,2014-09-19,0
9,Gh,2014-09-26,1
9,Gh,2014-10-03,1
9,Gh,2014-10-10,0
9,Gh,2014-10-16,0
9,Gh,2014-10-21,1
10,Ex,2014-09-13,0
10,Ex,2014-09-19,0
10,Ex,2014-09-26,0
10,Ex,2014-10-03,0
10,Ex,2014-10-10,0
10,Ex,2014-10-16,0
10,Ex,2014-10-21,0
11,Gh,2014-09-13,0
11,Gh,2014-09-19,0
11,Gh,2014-09-26,1
11,Gh,2014-10-03,0
11,Gh,2014-10-10,0
11,Gh,2014-10-16,0
11,Gh,2014-10-21,2
12,Ex,2014-09-13,0
12,Ex,2014-09-19,0
12,Ex,2014-09-26,0
12,Ex,2014-10-03,1
12,Ex,2014-10-10,0
12,Ex,2014-10-16,0
12,Ex,2014-10-21,0
